cntr_01,dist_x,pang_x,source_01,ra_01,dec_01,ra_1,dec_1,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,RA_2,Dec_2,GLON,GLAT,Period,Distance,e_Dis,A_Ks,e_ext,Type,Jmag,Hmag,Ksmag,W1mag,W2mag,3.6mag,4.5mag,5.8mag,8.0mag,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,v_z,e_v_z,H-W2,TC_rowSubsetFlags,GroupID,GroupSize,Separation
1,0.005933,75.954059,S0001,303.2266427,32.7011507,303.2266446,32.7011511,0.0236,0.0241,-0.0017,8.779,0.015,72.7,3.853,8.778,0.012,89.1,2.181,1,0,0000,AA,5,56787.43366875,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.006843,111.609413,S0001,303.2266427,32.7011507,303.2266448,32.70115,0.0282,0.0261,-0.0073,8.931,0.015,74.2,1.866,8.873,0.014,76.1,1.78,1,0,0000,AA,5,57328.25458032,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.01159,66.183877,S0001,303.2266427,32.7011507,303.2266462,32.701152,0.0298,0.0272,0.0084,8.884,0.018,60.6,2.295,8.878,0.016,69.0,1.151,1,0,0000,AA,5,57327.27089351,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.013795,-152.536845,S0001,303.2266427,32.7011507,303.2266406,32.7011473,0.0268,0.0229,-0.0036,8.828,0.013,83.6,1.213,8.763,0.014,80.3,0.7656,1,0,0000,AA,5,56786.57821274,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.015923,-138.251089,S0001,303.2266427,32.7011507,303.2266392,32.7011474,0.0275,0.0233,-0.0061,8.925,0.014,80.0,2.241,8.903,0.013,85.1,1.345,1,0,0000,AA,5,58246.78437216,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.016194,139.099253,S0001,303.2266427,32.7011507,303.2266462,32.7011473,0.028,0.0259,0.0058,8.809,0.016,68.8,9.373,8.782,0.014,78.1,3.192,1,0,0000,AA,5,59139.3721138,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.017873,113.755791,S0001,303.2266427,32.7011507,303.2266481,32.7011487,0.0259,0.0216,-0.0073,8.85,0.014,78.9,1.941,8.794,0.012,88.6,1.345,1,0,0000,AA,10,56787.82854346,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.020516,-73.694852,S0001,303.2266427,32.7011507,303.2266362,32.7011523,0.0265,0.0231,-0.0078,8.911,0.015,73.3,3.173,8.829,0.014,76.2,2.271,1,0,0000,AA,5,57516.47379388,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.021706,71.631759,S0001,303.2266427,32.7011507,303.2266495,32.7011526,0.0266,0.022,-0.0038,8.845,0.013,82.8,1.123,8.775,0.013,81.7,0.9806,1,0,0000,AA,10,56786.44654542,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
1,0.023229,-19.028136,S0001,303.2266427,32.7011507,303.2266402,32.7011568,0.0322,0.029,-0.0087,8.863,0.017,62.3,1.699,8.854,0.016,69.8,2.276,1,0,0000,AA,5,58774.69779795,3023133301351000440,8.835,0.024,8.807,0.02,8.803,0.032,8.851,0.391,711537752,10.429,0.0192,9.555,0.0169,9.157,0.0213,303.2266427,32.7011507,70.8424272,-0.8195534,7.78449,6.588,0.084,0.402,0.08,0,10.429,9.555,9.157,8.835,8.807,8.827,8.8,9999.0,9999.0,0.1476,0.0757,-3.565,0.101,-5.76,0.11,-57.98,4.81,1.85,3.26,0.7479999999999993,0,1,270,0.0
