Seq,w1mpro,w2mpro,mjd
204,13.635,12.664,56808.38378
204,13.386,12.75,56990.64174
204,13.68,12.92,56796.86863
204,13.481,12.751,56797.78992
204,13.463,12.535,56982.75352
204,13.393,12.738,56982.49069
204,13.479,12.671,56980.91297
204,13.323,12.77,56980.5186
204,13.32,12.729,56982.88506
204,13.227,12.733,56983.14801
204,13.414,12.683,56807.06787
204,13.409,12.731,56806.27825
204,13.365,12.785,56983.80533
204,13.44,12.753,56986.82923
204,13.394,12.819,56809.4366
204,13.365,12.799,56805.09388
204,13.38,12.681,57170.78709
204,13.389,12.709,57169.99963
204,13.252,12.565,57341.80541
204,13.35,12.693,57344.29742
204,13.625,12.795,56797.0003
204,13.676,12.98,56797.13184
204,13.394,12.745,56985.1201
204,13.43,12.714,56983.41096
204,13.312,12.773,56981.30746
204,13.412,12.71,56980.65001
204,13.42,12.778,56986.17191
204,13.467,12.739,56985.25151
204,13.438,12.77,56804.56746
204,13.437,12.805,56807.98903
204,13.407,12.875,56983.54238
204,13.432,12.777,56982.49056
204,13.392,12.742,56805.88337
204,13.395,12.601,56806.9362
204,13.464,12.598,57170.52465
204,13.491,12.552,57171.70583
204,13.471,12.783,57341.28078
204,13.389,12.755,57341.93657
204,13.374,12.97,57343.90395
204,13.548,12.809,57341.5431
204,13.365,12.735,56798.2505
204,13.775,13.04,56797.39505
204,13.284,12.866,56803.3831
204,13.473,12.689,56804.30426
204,13.371,12.738,56981.83324
204,13.491,12.724,56981.70183
204,13.423,12.692,56983.01647
204,13.412,12.786,56986.69769
204,13.418,12.785,56807.59428
204,13.33,12.685,56805.62029
204,13.374,12.851,56984.59419
204,13.481,12.705,56987.09205
204,13.359,12.719,56807.33107
204,13.398,12.735,56807.19941
204,13.389,12.761,57170.78722
204,13.367,12.773,57171.04966
204,13.377,12.616,57343.77279
204,13.354,12.717,57342.85468
204,13.537,12.713,57341.01846
204,13.283,12.685,57339.83804
204,13.433,12.808,56797.26351
204,13.422,12.741,56798.31633
204,13.378,12.704,56802.98822
204,13.397,12.735,56804.17259
204,13.389,12.814,56981.04451
204,13.491,12.695,56981.96478
204,13.35,12.696,56986.56628
204,13.481,12.842,56983.27942
204,13.401,12.63,56806.67299
204,13.418,12.807,56808.25224
204,13.537,12.865,56808.91019
204,13.482,12.795,56984.98856
204,13.369,12.652,56806.54145
204,13.435,12.586,56807.72582
204,13.425,12.676,57170.26208
204,13.405,12.82,57169.86848
204,13.485,12.726,57344.03511
204,13.442,12.707,57344.16627
204,13.534,12.695,57342.06773
204,13.376,12.707,57343.24816
204,13.647,12.979,56796.60542
204,13.52,12.742,56798.18467
204,13.409,12.66,56803.64618
204,13.428,12.694,56803.90938
204,13.352,12.751,56981.43887
204,13.4,12.66,56982.0962
204,13.441,12.713,56986.43474
204,13.467,12.796,56985.646
204,13.482,12.828,56807.59415
204,13.414,,56808.77852
204,13.332,12.68,56804.96221
204,13.482,12.795,56804.83067
204,13.417,12.739,56986.04037
204,13.444,12.791,56805.35696
204,13.626,12.848,56808.77865
204,13.518,12.813,57170.39336
204,13.479,12.799,57171.31211
204,13.538,12.793,57341.14962
204,13.563,12.821,57342.19889
204,13.533,12.928,57342.33005
204,13.462,12.75,56809.96302
204,13.466,12.725,56809.69981
204,13.414,12.769,56803.77784
204,13.377,12.634,56803.25143
204,13.306,12.762,56981.57029
204,13.422,12.851,56980.78155
204,13.431,12.837,56984.19982
204,13.619,12.744,56982.6221
204,13.538,12.817,56985.77742
204,13.457,12.686,56984.46265
204,13.37,13.063,56805.75183
204,13.397,12.886,56807.85736
204,13.403,12.737,56985.38305
204,13.393,12.913,56986.30332
204,13.434,12.672,56809.30494
204,13.364,12.686,56804.699
204,13.482,12.712,57170.91838
204,13.504,12.792,57170.65593
204,13.45,12.716,57341.67425
204,13.473,13.009,57340.62499
204,13.448,14.889,56809.56814
204,13.48,12.791,56809.83135
204,13.31,12.73,56803.38297
204,13.374,12.64,56804.04105
204,13.483,12.721,56985.25164
204,13.454,12.716,56982.35915
204,13.273,12.722,56984.1997
204,13.416,12.792,56985.90896
204,13.379,12.742,56986.17178
204,13.415,12.72,56985.51446
204,13.465,12.819,56806.14658
204,13.495,12.796,56808.64698
204,13.532,12.762,56984.85714
204,13.48,12.716,56986.96064
204,13.582,12.652,56805.62017
204,13.452,13.056,56809.04173
204,13.389,12.985,57171.57455
204,13.508,12.869,57169.60591
204,13.257,12.712,57340.75615
204,13.384,12.647,57344.42858
204,13.438,12.684,56990.77328
204,13.501,,56809.96289
204,13.32,12.637,56803.11976
204,13.48,12.685,56803.11989
204,13.442,12.677,56984.33124
204,13.468,12.738,56984.06828
204,13.401,12.754,56981.17592
204,13.368,12.776,56982.22774
204,13.546,12.733,56983.67392
204,13.456,12.717,56983.93687
204,13.409,12.753,56805.35709
204,13.484,12.78,56806.80466
204,13.494,12.833,56987.09218
204,13.506,12.752,56984.7256
